date,VRP(A) ,VRP(E) ,VRP(N),Mktrf,Correlations,Beta,Beta(WLS)
10/31/1990,0.006358,0.006712,0.005844,-0.0192,-0.03664,-0.3854,-0.3694
9/30/1990,0.006283,0.00616,0.005205,-0.0612,-0.09448,-1.1434,-1.6539
8/31/1990,0.005952,0.006629,0.005207,-0.1015,-0.49557,-5.7057,-5.1422
7/31/1990,0.002073,0.003005,0.001912,-0.019,-0.62632,-3.4649,-3.4703
6/30/1990,0.001673,0.001218,0.001718,-0.0109,-0.23263,-4.65,-3.7331
5/31/1990,0.002105,0.001887,0.002308,0.0842,0.41004,8.3625,8.1323
4/30/1990,0.003275,0.002545,0.003141,-0.0336,-0.33917,-11.2872,-13.6798
3/31/1990,0.002839,0.002684,0.00299,0.0183,-0.31034,-7.2433,-4.823
2/28/1990,0.004137,0.003511,0.003408,0.0111,-0.59951,-9.5572,-11.0277
1/31/1990,0.00402,0.004578,0.003185,-0.0785,-0.3405,-3.2262,-3.6611
