date,VRP(A) ,VRP(N),Mktrf,Beta,Beta(WLS),Beta*VRP,Pred,,,,
5/31/1995,0.000942,0.000872,0.029,-5.3426,-4.4679,0.004208762,0.0272,,,,
6/30/1995,0.000831,0.00079,0.0272,0.5325,0.4176,-0.000347026,0.0372,,,,
7/31/1995,0.000949,0.000753,0.0372,-7.1212,-6.3221,0.005999673,0.0055,,,,
8/31/1995,0.001033,0.00115,0.0055,-7.455,-6.1399,0.006342517,0.0335,,,,
9/30/1995,0.000899,0.000878,0.0335,-10.178,-9.7719,0.008784938,-0.0152,,,,
10/31/1995,0.001421,0.001386,-0.0152,-9.3425,-10.2676,0.01459026,0.0396,,,,
11/30/1995,0.000996,0.001033,0.0396,10.2627,10.4174,-0.01037573,0.0103,,,,
12/31/1995,0.000819,0.000716,0.0103,-11.2406,-7.7907,0.006380583,0.0226,,,,
1/31/1996,0.001069,0.00092,0.0226,-9.0075,-6.7546,0.007220667,0.0133,,,,
2/29/1996,0.001376,0.000965,0.0133,-7.387,-7.4198,0.010209645,0.0073,,,,
3/31/1996,0.001888,0.001631,0.0073,-6.5747,-6.6308,0.01251895,0.0206,,,,
4/30/1996,0.001766,0.00167,0.0206,-6.5142,-6.4514,0.011393172,0.0236,,,,
5/31/1996,0.001661,0.00156,0.0236,-3.0997,-3.0137,0.005005756,-0.0114,,,,
6/30/1996,0.001675,0.001624,-0.0114,-0.769,-0.5897,0.000987748,-0.0597,,,,
7/31/1996,0.002075,0.001105,-0.0597,-1.8869,-3.1565,0.006549738,0.0277,,,,
8/31/1996,0.001533,0.001733,0.0277,4.625,-11.8413,0.018152713,0.0501,,,,
9/30/1996,0.00173,0.001656,0.0501,-0.5466,-0.573,0.00099129,0.0086,,,,
10/31/1996,0.001662,0.001994,0.0086,-4.2825,-4.3141,0.007170034,0.0625,,,,
11/30/1996,0.001488,0.001559,0.0625,-1.0318,0.4424,-0.000658291,-0.017,,,,
12/31/1996,0.002423,0.001975,-0.017,-3.9143,-2.9896,0.007243801,0.0498,,,,
1/31/1997,0.002499,0.001948,0.0498,-6.0101,-6.0325,0.015075218,-0.0049,,,,
2/28/1997,0.002684,0.002096,-0.0049,-4.261,-4.7153,0.012655865,-0.0502,,,,
3/31/1997,0.002621,0.00204,-0.0502,-7.4621,-7.4265,0.019464857,0.0404,,,,
4/30/1997,0.002281,0.001971,0.0404,-6.3418,-4.7343,0.010798938,0.0674,,,,
5/31/1997,0.002403,0.002018,0.0674,1.7201,1.8893,-0.004539988,0.041,,,,
6/30/1997,0.002506,0.002345,0.041,-5.6839,-5.0713,0.012708678,0.0733,,,,
7/31/1997,0.002475,0.002366,0.0733,-7.2348,-7.3448,0.01817838,-0.0415,,,,
8/31/1997,0.003159,0.002233,-0.0415,-2.215,-2.2552,0.007124177,0.0535,,,,
9/30/1997,0.003167,0.003439,0.0535,-0.9929,0.0803,-0.00025431,-0.038,,,,
